name,starting_price,winner_bid,timestamp
SHADOW,2800.0,2900,2020-11-28 18:46:39
HAWK,400.0,550,2020-11-28 21:28:48
CATALYST,400.0,500,2020-11-28 21:28:48
CATALYST,400.0,500,2020-11-28 21:28:48
SHADOW,2900.0,3100,2020-11-28 21:28:48
HAWK,400.0,550,2020-11-28 22:32:29
ANCHOR,750.0,1300,2020-11-28 22:32:29
SHADOW,2800.0,2900,2020-11-28 22:32:29
HAWK,400.0,500,2020-11-28 22:58:43
CATALYST,350.0,450,2020-11-28 23:42:25
CATALYST,350.0,450,2020-11-28 23:42:25
CATALYST,350.0,500,2020-11-28 23:42:25
CATALYST,400.0,450,2020-11-28 23:42:25
ENGINE,400.0,600,2020-11-29 00:51:27
ANCHOR,500.0,500,2020-11-29 00:51:27
CATALYST,350.0,350,2020-11-29 00:51:27
CATALYST,400.0,400,2020-11-29 00:51:27
ENGINE,400.0,550,2020-11-29 02:37:28
FINISHER,600.0,800,2020-11-29 02:37:28
Pogba,151000.0,153000,2020-11-29 12:17:43
HAWK,400.0,550,2020-11-29 12:17:43
HAWK,400.0,600,2020-11-29 12:17:43
ENGINE,350.0,550,2020-11-29 12:17:43
CATALYST,350.0,350,2020-11-29 12:17:43
CATALYST,400.0,550,2020-11-29 12:17:43
CATALYST,350.0,900,2020-11-29 12:17:43
FINISHER,800.0,1000,2020-11-29 12:17:43
HAWK,500.0,800,2020-11-29 13:33:14
ENGINE,500.0,650,2020-11-29 13:33:14
Gomez,68000.0,68500,2020-11-29 15:00:42
FINISHER,700.0,800,2020-11-29 15:00:42
ENGINE,400.0,600,2020-11-29 20:12:59
ENGINE,500.0,700,2020-11-29 20:12:59
CATALYST,350.0,550,2020-11-29 20:12:59
Chiellini,24750.0,25000,2020-11-29 22:56:40
HAWK,400.0,600,2020-11-29 22:56:40
Handanovič,31750.0,32000,2020-11-29 23:49:02
ANCHOR,750.0,1200,2020-11-29 23:49:02
CATALYST,400.0,550,2020-11-29 23:49:02
CATALYST,400.0,550,2020-11-29 23:49:02
SHADOW,2800.0,2900,2020-11-29 23:49:02
SHADOW,2800.0,2900,2020-11-29 23:49:02
SHADOW,2800.0,2800,2020-11-29 23:49:02
FINISHER,800.0,1000,2020-11-29 23:49:02
FINISHER,900.0,1000,2020-11-29 23:49:02
Manu García,700.0,1000,2020-11-30 02:42:39
CATALYST,400.0,550,2020-11-30 02:42:39
SHADOW,2800.0,2900,2020-11-30 02:42:39
Courtois,40500.0,41000,2020-11-30 12:59:46
Handanovič,31750.0,32000,2020-11-30 12:59:46
HAWK,350.0,500,2020-11-30 12:59:46
SHADOW,2900.0,3000,2020-11-30 12:59:46
SHADOW,3000.0,3500,2020-11-30 12:59:46
SHADOW,3000.0,3200,2020-11-30 12:59:46
ENGINE,900.0,1300,2020-11-30 15:25:35
CATALYST,350.0,700,2020-11-30 15:25:35
CATALYST,350.0,450,2020-11-30 16:34:42
CATALYST,350.0,350,2020-11-30 18:35:50
SHADOW,3000.0,3100,2020-11-30 18:35:50
Agüero,45000.0,46000,2020-11-30 18:56:54
SHADOW,2800.0,2800,2020-11-30 21:49:48
Immobile,27750.0,28500,2020-11-30 22:20:30
CATALYST,350.0,350,2020-12-01 01:32:47
CATALYST,500.0,600,2020-12-01 01:32:47
CATALYST,350.0,550,2020-12-01 02:20:39
CATALYST,400.0,550,2020-12-01 02:20:39
Payet,1900.0,2100,2020-12-01 10:10:43
Mário Fernandes,1200.0,1300,2020-12-01 10:10:43
Mário Fernandes,1300.0,1400,2020-12-01 10:10:43
Kramarić,1500.0,1600,2020-12-01 10:10:43
HAWK,450.0,700,2020-12-01 10:10:43
CATALYST,400.0,500,2020-12-01 10:10:43
CATALYST,400.0,600,2020-12-01 12:03:41
FINISHER,600.0,600,2020-12-01 12:03:41
Maignan,1900.0,2100,2020-12-01 12:45:43
Koke,12000.0,13000,2020-12-01 13:12:04
Mário Fernandes,1300.0,1400,2020-12-01 13:12:04
Mário Fernandes,1300.0,1400,2020-12-01 13:12:04
FINISHER,600.0,800,2020-12-01 13:12:04
Kramarić,1600.0,1800,2020-12-01 14:33:35
HAWK,500.0,800,2020-12-01 14:33:35
SHADOW,2900.0,3300,2020-12-01 14:33:35
Marcos Llorente,2900.0,2900,2020-12-01 16:43:08
HAWK,350.0,550,2020-12-01 18:02:17
SHADOW,2900.0,3200,2020-12-01 18:02:17
SHADOW,3000.0,3000,2020-12-01 18:02:17
FINISHER,600.0,700,2020-12-01 18:02:17
HAWK,650.0,650,2020-12-01 20:21:39
CATALYST,400.0,550,2020-12-01 20:21:39
Pacheco,950.0,950,2020-12-01 20:52:53
Pacheco,1100.0,1200,2020-12-02 11:44:39
ENGINE,600.0,600,2020-12-02 11:44:39
CATALYST,350.0,550,2020-12-02 11:44:39
CATALYST,400.0,400,2020-12-02 11:44:39
CATALYST,350.0,450,2020-12-02 11:44:39
CATALYST,500.0,600,2020-12-02 11:44:39
CATALYST,400.0,550,2020-12-02 11:44:39
SHADOW,2800.0,3000,2020-12-02 11:44:39
Marcos Llorente,2700.0,2800,2020-12-02 15:39:10
Pacheco,1100.0,1200,2020-12-02 15:39:10
CATALYST,450.0,450,2020-12-02 15:39:10
CATALYST,400.0,600,2020-12-02 20:36:33
CATALYST,350.0,500,2020-12-02 20:36:33
CATALYST,450.0,550,2020-12-02 20:36:33
SHADOW,2900.0,3000,2020-12-02 20:36:33
ENGINE,500.0,600,2020-12-02 21:43:33
ENGINE,450.0,500,2020-12-02 21:43:33
FINISHER,600.0,800,2020-12-02 22:10:37
FINISHER,700.0,900,2020-12-02 22:10:37
DEADEYE,450.0,600,2020-12-02 22:27:15
ENGINE,500.0,600,2020-12-03 10:17:42
CATALYST,400.0,600,2020-12-03 10:17:42
SHADOW,2800.0,2900,2020-12-03 10:17:42
SNIPER,450.0,550,2020-12-03 10:17:42
SHADOW,2900.0,3100,2020-12-03 11:03:40
SHADOW,3000.0,3500,2020-12-03 11:03:40
